city,lat,lng,country,iso2,admin,capital,population,population_proper
Bengalūru,12.977063,77.587106,India,IN,Karnātaka,admin,6787000,5104047
Hubli,15.349955,75.138619,India,IN,Karnātaka,,890000,792804
Mysore,12.292664,76.638543,India,IN,Karnātaka,,887000,868313
Mangalore,12.865371,74.842432,India,IN,Karnātaka,,776632,417387
Shimoga,13.932424,75.572555,India,IN,Karnātaka,,654055,319550
Belgaum,15.862643,74.508534,India,IN,Karnātaka,,608756,610189
Davangere,14.469237,75.92375,India,IN,Karnātaka,,503564,435125
Gulbarga,17.335827,76.83757,India,IN,Karnātaka,,483615,481478
Bellary,15.142049,76.92398,India,IN,Karnātaka,,445388,336681
Tumkūr,13.341358,77.102203,India,IN,Karnātaka,,399606,307359
Bīdar,17.913309,77.530105,India,IN,Karnātaka,,300136,204071
Hospet,15.269537,76.387103,India,IN,Karnātaka,,286007,197846
Chikka Mandya,12.545602,76.895078,India,IN,Karnātaka,,285034,134845
Bijāpur,16.827715,75.718988,India,IN,Karnātaka,,271064,270870
Rāichūr,16.205459,77.35567,India,IN,Karnātaka,,255240,225962
Kolār,13.137679,78.129989,India,IN,Karnātaka,,144625,126441
